Code,Description,Scope,Area,MinLon,MinLat,MaxLon,MaxLat,LonCenter,LatCenter,Projection,OGCWKT,Proj4
EPSG:2000,EPSG Projection 2000 - Anguilla 1957 / British West Indies Grid,Large and medium scale topographic mapping and engineering survey.,Anguilla - onshore,-63.39,18.16,-62.93,18.31,-62,0,transverse_mercator,"PROJCS[""Anguilla 1957 / British West Indies Grid"",GEOGCS[""Anguilla 1957"",DATUM[""Anguilla_1957"",SPHEROID[""Clarke 1880 (RGS)"",6378249.145,293.465,AUTHORITY[""EPSG"",""7012""]],AUTHORITY[""EPSG"",""6600""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4600""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2000""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995000000000001 +x_0=400000 +y_0=0 +ellps=clrk80 +units=m +no_defs 
EPSG:2001,EPSG Projection 2001 - Antigua 1943 / British West Indies Grid,Large and medium scale topographic mapping and engineering survey.,Antigua,-61.89,16.99,-61.67,17.72,-62,0,transverse_mercator,"PROJCS[""Antigua 1943 / British West Indies Grid"",GEOGCS[""Antigua 1943"",DATUM[""Antigua_1943"",SPHEROID[""Clarke 1880 (RGS)"",6378249.145,293.465,AUTHORITY[""EPSG"",""7012""]],AUTHORITY[""EPSG"",""6601""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4601""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2001""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995000000000001 +x_0=400000 +y_0=0 +ellps=clrk80 +units=m +no_defs 
EPSG:2002,EPSG Projection 2002 - Dominica 1945 / British West Indies Grid,Large and medium scale topographic mapping and engineering survey.,Dominica - onshore,-61.5,15.19,-61.2,15.65,-62,0,transverse_mercator,"PROJCS[""Dominica 1945 / British West Indies Grid"",GEOGCS[""Dominica 1945"",DATUM[""Dominica_1945"",SPHEROID[""Clarke 1880 (RGS)"",6378249.145,293.465,AUTHORITY[""EPSG"",""7012""]],TOWGS84[725,685,536,0,0,0,0],AUTHORITY[""EPSG"",""6602""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4602""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2002""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995000000000001 +x_0=400000 +y_0=0 +ellps=clrk80 +towgs84=725,685,536,0,0,0,0 +units=m +no_defs "
EPSG:2003,EPSG Projection 2003 - Grenada 1953 / British West Indies Grid,Large and medium scale topographic mapping and engineering survey.,Grenada and southern Grenadines - onshore,-61.8,11.95,-61.35,12.53,-62,0,transverse_mercator,"PROJCS[""Grenada 1953 / British West Indies Grid"",GEOGCS[""Grenada 1953"",DATUM[""Grenada_1953"",SPHEROID[""Clarke 1880 (RGS)"",6378249.145,293.465,AUTHORITY[""EPSG"",""7012""]],TOWGS84[72,213.7,93,0,0,0,0],AUTHORITY[""EPSG"",""6603""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4603""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2003""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995000000000001 +x_0=400000 +y_0=0 +ellps=clrk80 +towgs84=72,213.7,93,0,0,0,0 +units=m +no_defs "
EPSG:2004,EPSG Projection 2004 - Montserrat 1958 / British West Indies Grid,Large and medium scale topographic mapping and engineering survey.,Montserrat - onshore,-62.25,16.66,-61.1,16.83,-62,0,transverse_mercator,"PROJCS[""Montserrat 1958 / British West Indies Grid"",GEOGCS[""Montserrat 1958"",DATUM[""Montserrat_1958"",SPHEROID[""Clarke 1880 (RGS)"",6378249.145,293.465,AUTHORITY[""EPSG"",""7012""]],TOWGS84[174,359,365,0,0,0,0],AUTHORITY[""EPSG"",""6604""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4604""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2004""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995000000000001 +x_0=400000 +y_0=0 +ellps=clrk80 +towgs84=174,359,365,0,0,0,0 +units=m +no_defs "
EPSG:2005,EPSG Projection 2005 - St. Kitts 1955 / British West Indies Grid,Large and medium scale topographic mapping and engineering survey.,St Kitts and Nevis - onshore,-62.88,17.09,-62.53,17.43,-62,0,transverse_mercator,"PROJCS[""St. Kitts 1955 / British West Indies Grid"",GEOGCS[""St. Kitts 1955"",DATUM[""St_Kitts_1955"",SPHEROID[""Clarke 1880 (RGS)"",6378249.145,293.465,AUTHORITY[""EPSG"",""7012""]],AUTHORITY[""EPSG"",""6605""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4605""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2005""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995000000000001 +x_0=400000 +y_0=0 +ellps=clrk80 +units=m +no_defs 
EPSG:2006,EPSG Projection 2006 - St. Lucia 1955 / British West Indies Grid,Large and medium scale topographic mapping and engineering survey.,St Lucia - onshore,-61.08,13.7,-60.86,14.12,-62,0,transverse_mercator,"PROJCS[""St. Lucia 1955 / British West Indies Grid"",GEOGCS[""St. Lucia 1955"",DATUM[""St_Lucia_1955"",SPHEROID[""Clarke 1880 (RGS)"",6378249.145,293.465,AUTHORITY[""EPSG"",""7012""]],TOWGS84[-149,128,296,0,0,0,0],AUTHORITY[""EPSG"",""6606""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4606""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2006""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995000000000001 +x_0=400000 +y_0=0 +ellps=clrk80 +towgs84=-149,128,296,0,0,0,0 +units=m +no_defs "
EPSG:2007,EPSG Projection 2007 - St. Vincent 45 / British West Indies Grid,Large and medium scale topographic mapping and engineering survey.,St Vincent and the Grenadines - onshore,-61.3,12.85,-61.1,13.38,-62,0,transverse_mercator,"PROJCS[""St. Vincent 45 / British West Indies Grid"",GEOGCS[""St. Vincent 1945"",DATUM[""St_Vincent_1945"",SPHEROID[""Clarke 1880 (RGS)"",6378249.145,293.465,AUTHORITY[""EPSG"",""7012""]],TOWGS84[195.671,332.517,274.607,0,0,0,0],AUTHORITY[""EPSG"",""6607""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4607""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2007""],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]","+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995000000000001 +x_0=400000 +y_0=0 +ellps=clrk80 +towgs84=195.671,332.517,274.607,0,0,0,0 +units=m +no_defs "
EPSG:2008,EPSG Projection 2008 - NAD27(CGQ77) / SCoPQ zone 2,Large and medium scale topographic mapping and engineering survey.,Canada - Quebec - east of 57°W,-57,46.6,-54,53.76,-55.5,0,transverse_mercator,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 2"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-55.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2008""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-55.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
EPSG:2009,EPSG Projection 2009 - NAD27(CGQ77) / SCoPQ zone 3,Large and medium scale topographic mapping and engineering survey.,Canada - Quebec - 60°W to 57°W,-60,50.1,-57.1,52,-58.5,0,transverse_mercator,"PROJCS[""NAD27(CGQ77) / SCoPQ zone 3"",GEOGCS[""NAD27(CGQ77)"",DATUM[""North_American_Datum_1927_CGQ77"",SPHEROID[""Clarke 1866"",6378206.4,294.9786982138982,AUTHORITY[""EPSG"",""7008""]],AUTHORITY[""EPSG"",""6609""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4609""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-58.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""2009""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]",+proj=tmerc +lat_0=0 +lon_0=-58.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
