Code,Description,Scope,Area,MinLon,MinLat,MaxLon,MaxLat,LonCenter,LatCenter,Projection,OGCWKT,Proj4
ESRI:37001,ESRI Projection 37001 - GCS WGS 1966,null,null,1.7976931348623157E308,1.7976931348623157E308,-1.7976931348623157E308,-1.7976931348623157E308,1.7976931348623157E308,0,null,"GEOGCS[""GCS_WGS_1966"",DATUM[""WGS_1966"",SPHEROID[""WGS_1966"",6378145,298.25]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295],AUTHORITY[""EPSG"",""37001""]]",+proj=longlat +ellps=WGS66 +no_defs 
ESRI:37002,ESRI Projection 37002 - GCS Fischer 1960,null,null,1.7976931348623157E308,1.7976931348623157E308,-1.7976931348623157E308,-1.7976931348623157E308,1.7976931348623157E308,0,null,"GEOGCS[""GCS_Fischer_1960"",DATUM[""Fischer_1960"",SPHEROID[""Fischer_1960"",6378166,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295],AUTHORITY[""EPSG"",""37002""]]",+proj=longlat +a=6378166 +b=6356784.283607107 +no_defs 
ESRI:37003,ESRI Projection 37003 - GCS Fischer 1968,null,null,1.7976931348623157E308,1.7976931348623157E308,-1.7976931348623157E308,-1.7976931348623157E308,1.7976931348623157E308,0,null,"GEOGCS[""GCS_Fischer_1968"",DATUM[""Fischer_1968"",SPHEROID[""Fischer_1968"",6378150,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295],AUTHORITY[""EPSG"",""37003""]]",+proj=longlat +a=6378150 +b=6356768.337244385 +no_defs 
ESRI:37004,ESRI Projection 37004 - GCS Fischer Modified,null,null,1.7976931348623157E308,1.7976931348623157E308,-1.7976931348623157E308,-1.7976931348623157E308,1.7976931348623157E308,0,null,"GEOGCS[""GCS_Fischer_Modified"",DATUM[""Fischer_Modified"",SPHEROID[""Fischer_Modified"",6378155,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295],AUTHORITY[""EPSG"",""37004""]]",+proj=longlat +ellps=fschr60m +no_defs 
ESRI:37005,ESRI Projection 37005 - GCS Hough 1960,null,null,1.7976931348623157E308,1.7976931348623157E308,-1.7976931348623157E308,-1.7976931348623157E308,1.7976931348623157E308,0,null,"GEOGCS[""GCS_Hough_1960"",DATUM[""Hough_1960"",SPHEROID[""Hough_1960"",6378270,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295],AUTHORITY[""EPSG"",""37005""]]",+proj=longlat +a=6378270 +b=6356794.343434343 +no_defs 
ESRI:37006,ESRI Projection 37006 - GCS Everest Modified 1969,null,null,1.7976931348623157E308,1.7976931348623157E308,-1.7976931348623157E308,-1.7976931348623157E308,1.7976931348623157E308,0,null,"GEOGCS[""GCS_Everest_Modified_1969"",DATUM[""Everest_Modified_1969"",SPHEROID[""Everest_Modified_1969"",6377295.664,300.8017]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295],AUTHORITY[""EPSG"",""37006""]]",+proj=longlat +a=6377295.664 +b=6356094.667915204 +no_defs 
ESRI:37007,ESRI Projection 37007 - GCS Walbeck,null,null,1.7976931348623157E308,1.7976931348623157E308,-1.7976931348623157E308,-1.7976931348623157E308,1.7976931348623157E308,0,null,"GEOGCS[""GCS_Walbeck"",DATUM[""Walbeck"",SPHEROID[""Walbeck"",6376896,302.78]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295],AUTHORITY[""EPSG"",""37007""]]",+proj=longlat +a=6376896 +b=6355834.846687363 +no_defs 
ESRI:37008,ESRI Projection 37008 - GCS Sphere ARC INFO,null,null,1.7976931348623157E308,1.7976931348623157E308,-1.7976931348623157E308,-1.7976931348623157E308,1.7976931348623157E308,0,null,"GEOGCS[""GCS_Sphere_ARC_INFO"",DATUM[""Sphere_ARC_INFO"",SPHEROID[""Sphere_ARC_INFO"",6370997,0]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295],AUTHORITY[""EPSG"",""37008""]]",+proj=longlat +a=6370997 +b=6370997 +no_defs 
ESRI:37201,ESRI Projection 37201 - GCS European 1979,null,null,1.7976931348623157E308,1.7976931348623157E308,-1.7976931348623157E308,-1.7976931348623157E308,1.7976931348623157E308,0,null,"GEOGCS[""GCS_European_1979"",DATUM[""European_1979"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295],AUTHORITY[""EPSG"",""37201""]]",+proj=longlat +ellps=intl +no_defs 
ESRI:37202,ESRI Projection 37202 - GCS Everest Bangladesh,null,null,1.7976931348623157E308,1.7976931348623157E308,-1.7976931348623157E308,-1.7976931348623157E308,1.7976931348623157E308,0,null,"GEOGCS[""GCS_Everest_Bangladesh"",DATUM[""Everest_Bangladesh"",SPHEROID[""Everest_Adjustment_1937"",6377276.345,300.8017]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295],AUTHORITY[""EPSG"",""37202""]]",+proj=longlat +a=6377276.345 +b=6356075.41314024 +no_defs 
